id,title,month,year,publishTime,kind_stats,duration_seconds,viewCount,likeCount,commentCount,impressionCount
GLoeAJUcz38,"Press This Button To Win $100,000!",11,2020,2020-11-14,Long,911,145527042,2762425,83853,576287086.3
HBMmK1c44sE,I Spent 24 Hours In A Doomsday Bunker,4,2020,2020-04-11,Shorts,719,102795467,2080395,77842,465663465.5
IYVjOfoU3uI,I Gave My Credit Card To Random People,2,2020,2020-02-01,Shorts,1008,101244292,2815381,94482,277409360.1
UE5AHE2Ypr8,"I Gave My 40,000,000th Subscriber 40 Cars",9,2020,2020-09-19,Shorts,1031,87102771,3128951,178670,419835356.2
52ubXjlVzUY,"Donating $100,000 To A Random Fortnite Streamer",8,2018,2018-08-05,Long,1382,49107493,1037696,51877,47634268.21
b91vrgVY-ZQ,"Attempting The Impossible Maze - $10,000 Challenge",8,2018,2018-08-15,Shorts,1187,49047821,930096,32951,151067288.7
fMfipiV_17o,"Would You Sit In Snakes For $10,000?",4,2021,2021-04-10,Long,849,109152270,3125932,133872,445341261.6
mpZWt5pGKZ8,The Real Way Dinosaurs Went Extinct,6,2018,2018-06-28,Shorts,351,24150678,665682,44254,90565042.5
nd-bwvNB7YA,Destroying My Friend&#39;s Car And Surprising Him With A New One - Slime,8,2018,2018-08-28,Shorts,971,85399212,1938017,64569,118704904.7
YyhKdOCwD7s,24 Hours In The Most Haunted Place On Earth,5,2019,2019-05-30,Long,907,53637455,1727423,114242,192558463.5
SZQhgExjBvQ,I Survived 24 Hours Straight In Ice,10,2020,2020-10-29,Long,694,85113492,2833891,187948,308961976
NS3hse9ezik,"Last To Leave Ramen Noodle Pool Wins $20,000",9,2019,2019-09-13,Shorts,872,42663444,1024261,43030,155721570.6
P4qWhSZ7_WA,Things That SHOULDN&#39;T Be Sold On Amazon,9,2018,2018-09-21,Long,846,86162309,1367280,49576,113734247.9
fG1N5kzeAhM,Dear Future Me (Scheduled Uploaded 6 Months Ago),4,2016,2016-04-04,Shorts,145,1720103,113655,12064,6347180.07
9GD6hbqu2oM,I Spent 24 Hours Straight In Slime,10,2018,2018-10-09,Shorts,878,37343693,844625,34343,143026344.2
ep7S1XnuQLU,"5,000 Hype",8,2015,2015-08-11,Shorts,184,68280,1890,457,274485.6
GUWGsIVEMSQ,"Surprising Tfue With $10,000 Live - Fortnite",10,2018,2018-10-04,Shorts,923,64588022,1377667,48151,102694955
tBEBc4KQVsU,I Hope This Magic Trick Works,9,2018,2018-09-11,Shorts,982,38328312,654619,19884,92371231.92
xRwy_rKc7gI,World&#39;s Largest Bowl Of Cereal,5,2019,2019-05-15,Long,942,94292762,1854976,80215,363027133.7
TOcGSwJBPMQ,I Spent 24 Hours Straight At Area 51,8,2019,2019-08-02,Long,919,75223134,2155891,90618,129383790.5
PJyWmlWNor8,WHY DO THEY SELL THIS ON AMAZON?,12,2016,2016-12-18,Long,612,8221419,702067,16243,18827049.51
YQDDm9HLkV4,I Adopted EVERY Dog In A Dog Shelter,7,2020,2020-07-23,Long,964,104797858,3343738,190567,324873359.8
Y74b7WlcEpk,More birds IN MINECRAFT!!,1,2013,2013-01-12,Shorts,126,508657,21805,2586,1149564.82
gYaxI_allkQ,Am I Ian From Smosh????,8,2015,2015-08-02,Long,138,336265,5978,421,904552.85
uE6gud1voDs,"Ordering Water Then Tipping $30,000",10,2018,2018-10-23,Shorts,723,39714916,1067119,47639,173554182.9
XE9pUM9MEFA,I Built A Working Car Using Only LEGOS,6,2018,2018-06-23,Long,750,60094101,1357892,101318,86535505.44
x4IXCimma-s,5 Youtubers I Think Will Be Famous...,5,2014,2014-05-31,Shorts,264,115490,3398,634,97011.6
urtFrxDUV6c,"Would YOU Quit School For $100,000?",7,2021,2021-07-10,Long,694,55202068,2004164,78869,104331908.5
ktyJIj6i4Qw,"If You Can Carry $1,000,000 You Keep It!",7,2021,2021-07-24,Long,645,59015812,1997674,67953,292718427.5
Kgu2ApayYvI,How Much Money Do I Make?????,3,2014,2014-03-16,Long,250,84770,2929,497,204295.7
AKJfakEsgy0,Hi Me In 5 Years,10,2020,2020-10-04,Long,128,54420826,4020866,202949,243805300.5
8D3vI1615K4,Fidget Spinner Vs Face (Legit Had To Get Stitches),5,2017,2017-05-02,Shorts,427,34564059,1302416,80540,71893242.72
52ubXjlVzUY,"Donating $100,000 To A Random Fortnite Streamer",8,2018,2018-08-05,Long,1382,49107493,1037696,51877,135045605.8
Vl3swga-Xrk,"Would You Rather Have A Giant Diamond or $100,000?",9,2020,2020-09-26,Shorts,805,84145733,2036903,72896,153145234.1
rH1D_3G56DY,Returning Destroyed Rental Cars Prank,7,2018,2018-07-27,Long,630,31253076,512955,18067,37191160.44
KzwTYZ2W3ZA,Microwaving A Microwave,12,2016,2016-12-09,Long,604,10839661,417870,42810,21245735.56
nywT2SenPIo,"Last To Remove Hand, Gets Lamborghini Challenge",11,2018,2018-11-02,Shorts,1187,69218300,1400722,75483,317711997
bFZdU9dr4OM,Rocket League In Real Life!,9,2018,2018-09-01,Shorts,775,25522152,480682,16674,16844620.32
d7QmQtNwhcU,"Can 1,000 Rolls Of Duct Tape Stop A Car??",4,2018,2018-04-30,Shorts,623,24391194,500404,25163,114394699.9
Lx9fRu5ehFo,We Are Better Than Dude Perfect,6,2017,2017-06-24,Shorts,158,22953310,582620,38139,113159818.3
q6Qw8mUVTrE,I Put 10 Million Legos in Friend&#39;s House,1,2019,2019-01-18,Long,917,46254313,924864,60152,112397980.6
Izmibu7dxcs,Destroying My Friend&#39;s Car And Surprising Him With A New One,4,2018,2018-04-13,Shorts,912,36327719,588243,36674,127873570.9
foLlul8Tl3E,"I Donated $50,000 To Ninja - Fortnite",7,2018,2018-07-14,Long,1322,89812159,2008143,63348,306259462.2
3TflpIllQHY,I Put 100 Million Orbeez In My Friend&#39;s Backyard,11,2018,2018-11-22,Long,891,151143603,3966861,136009,473079477.4
sg_XFT4K3N4,"I Dropped $20,000 From A Drone",3,2018,2018-03-08,Shorts,711,7497101,240507,17835,27739273.7
6_im_hGxGRk,Spending 24 Hours Straight Under Water Challenge,8,2018,2018-08-24,Long,911,96310085,2510799,105267,214771489.6
t4OumncEiKo,I Took Apart My Friends Car And Put It In His Room,5,2018,2018-05-25,Shorts,734,14751108,291593,12424,65052386.28
Su34c5Z8DW4,I Put Millions Of Pennies In My Friends Backyard,12,2018,2018-12-08,Shorts,881,72734247,1466212,57745,40003835.85
Ih2WTyY62J4,"$250,000 Influencer Rock, Paper, Scissors Tournament",4,2020,2020-04-26,Long,1680,42637553,1566528,57088,160317199.3
_uwNDiU04zE,"If You Press This, I’ll Pay...",2,2021,2021-02-13,Long,719,43238893,2651923,155975,152200903.4
PJyWmlWNor8,WHY DO THEY SELL THIS ON AMAZON?,12,2016,2016-12-18,Shorts,612,8221419,702067,16243,17182765.71
op0N7axawJA,"I Gave $20,000 To Random Homeless People",2,2018,2018-02-17,Long,656,43245962,1206819,75178,134927401.4
9vB-48kHbBU,I Built A Giant House Using Only Legos,12,2018,2018-12-02,Shorts,829,54418062,928086,50622,41901907.74
9yrdFAJUSaU,"Donating $100,000 To Shroud In Real Life",4,2019,2019-04-04,Long,854,29240368,834320,21552,111113398.4
MC5h-ShR-S8,"We Drove 3,000 Miles For The World&#39;s Best Burger",6,2018,2018-06-09,Long,926,45984373,1091308,96737,131055463.1
xpNeg0hPZIs,Playing Battleship With Real Ships,4,2019,2019-04-06,Long,932,31104058,872777,35715,47589208.74
2O8wta4FsD4,STUPIDEST PERSN ON EART (Really Dumb),11,2016,2016-11-28,Shorts,326,2440007,184985,13369,9906428.42
XKFKPQHdWRI,Breaking Glass Using Only Megaphones,3,2018,2018-03-17,Shorts,552,49984992,1305860,78126,146955876.5
iUzi5JmJNWc,Surprising Strangers With 100 Zombies - Experiment,3,2019,2019-03-03,Long,721,48247473,1425807,56359,238824991.4
yUXIx2l8kko,I Bought An Abandoned Storage Unit And Found This..,12,2017,2017-12-01,Shorts,729,33946503,592804,23978,139859592.4
9-HphHIJS9c,"How I Gave Away $1,000,000",12,2018,2018-12-25,Long,914,14038257,485758,35392,7019128.5
b91vrgVY-ZQ,"Attempting The Impossible Maze - $10,000 Challenge",8,2018,2018-08-15,Shorts,1187,49047821,930096,32951,71609818.66
5Hg_QSIJm8I,"I Gave $200,000 To People Who Lost Their Jobs (Corona Virus)",5,2020,2020-05-07,Shorts,992,34770962,1287683,67596,169334584.9
BMZP4CtphaU,Life Hacks You Need To Know,12,2017,2017-12-08,Long,604,7027186,195098,11227,26843850.52
NZR4WEjpOQg,Winning A Game Of Fortnite In The Middle Of The Ocean,4,2018,2018-04-25,Long,615,28869730,735912,49482,107106698.3
ZV7rU6lnAKQ,"$200,000 Youtuber Battle Royale",3,2019,2019-03-12,Long,1584,44391052,1575434,146908,216628333.8
gKVZz4kcuns,"$10,000 Games Of Rock Paper Scissors",11,2018,2018-11-04,Long,787,16997867,480292,26100,23797013.8
g2rbhIB-ITM,"I Donated $30,000 To A Random Twitch Streamer (world record)",1,2018,2018-01-28,Long,1106,32025776,1039924,57446,126501815.2
uotb9ZHnI2g,"Tipping Pizza Delivery Guys $10,000",8,2017,2017-08-23,Long,769,21665288,678066,41836,30331403.2
rPXmbM2UEbU,"Giving $100,000 To A Homeless Person",12,2018,2018-12-23,Shorts,884,28172177,981231,73387,133254397.2
QapO3maXd9k,Donating $10000 To Pewdiepie,12,2018,2018-12-16,Long,915,43585366,1642182,51873,126833415.1
Pe3pGsCeYXg,"Giving 3,000,000 Pennies To My 3,000,000th Subscriber",2,2018,2018-02-22,Long,610,8486338,229209,22969,6110163.36
fG1N5kzeAhM,Dear Future Me (Scheduled Uploaded 6 Months Ago),4,2016,2016-04-04,Shorts,145,1720103,113655,12064,5074303.85
wDqJZ_2ZA3A,"I Spent $30,000 On Lottery Tickets And Won ____",9,2018,2018-09-28,Shorts,1052,16658791,418821,23161,41480389.59
8TFq_vvO_Wg,MrBeast6000&#39;s First Video (So Bad lol),11,2015,2015-11-19,Shorts,187,10953561,434878,33521,45238206.93
UlUcwJc5nBs,"Surprising My 8,000,000th Subscriber With 8,000,000 ___",9,2018,2018-09-19,Shorts,1132,26058263,464777,19078,86252850.53
w40Z8aT5fpQ,Why Do We Do Things That Are Bad For Us?????,5,2015,2015-05-14,Long,204,17555,688,90,46345.2
vETSAZgfDP4,I Flew Using Only Balloons AND Leaf Blowers,4,2018,2018-04-23,Shorts,680,30133231,602242,46185,122943582.5
pzlPJmNyepA,What is Crohn&#39;s Disease?????,4,2015,2015-04-04,Shorts,424,243103,10321,940,184758.28
x4IXCimma-s,5 Youtubers I Think Will Be Famous...,5,2014,2014-05-31,Long,264,115490,3398,634,518550.1
dBxOYE2j55U,Make This Video The Most Liked Video On Youtube,1,2019,2019-01-16,Shorts,791,96523287,19049431,277088,86870958.3
qZNxvnQv0h4,I Bought Every Billboard In My City For This,10,2018,2018-10-26,Long,931,35854023,1270908,112106,20078252.88
-0zoWMSEOGg,"I Gave My 6,000,000th Subscriber 6,000,000 ____",7,2018,2018-07-25,Shorts,1113,15049764,353912,33235,12039811.2
1UygJmcHUdQ,I Got Bored Of Studying So This Happened,10,2015,2015-10-13,Long,129,234742,8733,626,833334.1
BqS4iVHa-LU,How Much Money Does Penguinz0 Make????? 2016,5,2014,2014-05-16,Long,175,51573,2143,318,112944.87
TZPlDuYrcDQ,Minecraft Mansion Timelapse,2,2014,2014-02-22,Shorts,302,512942,16737,2286,1318260.94
uBC7805Smsg,"I Gave $500,000 To Random People",5,2018,2018-05-11,Long,903,12798771,396284,31579,56698555.53
gYaxI_allkQ,Am I Ian From Smosh????,8,2015,2015-08-02,Shorts,138,336265,5978,421,1553544.3
p6bzNpgbX8Y,What Is Crohns Disease?????,8,2015,2015-08-10,Shorts,261,104858,3145,441,505415.56
IAbX0FwX-GY,Why I Haven&#39;t Been Uploading,3,2013,2013-03-25,Shorts,363,365229,,1312,241051.14
G7Y9ban7b0U,How Much Money Does Tobuscus Make?????,5,2014,2014-05-14,Long,142,24967,630,160,106109.75
lfD7kMZKuNg,Big Channel&#39;s Starting Over???,8,2015,2015-08-05,Long,199,20549,571,92,79524.63
cRPldarzw-M,1k Subs,4,2014,2014-04-13,Long,195,16308305,1226938,94529,43869340.45
GxTVDClFXuc,MrBeast6000Subs,8,2015,2015-08-23,Long,332,246087,16990,2429,378973.98
Kgu2ApayYvI,How Much Money Do I Make?????,3,2014,2014-03-16,Shorts,250,84770,2929,497,119525.7
RywkkwO78m8,Flat Earth PROVEN By Independent Research,9,2018,2018-09-22,Long,712,24425400,711334,137631,22959876
9zFfp3gzZ88,I Hate Youtubers That Ask For Likes,8,2015,2015-08-20,Shorts,256,104983,6832,653,414682.85
rqUvnLPvbrM,Reacting To The Reaction Of The Reaction To The Reaction Of The Reaction Of The Reaction To The Reac,2,2017,2017-02-22,Long,2009,5799526,305454,26108,27547748.5
AS5CxLCWq-Q,Watching Dance Till You&#39;re Dead For 10 Hours,3,2017,2017-03-21,Shorts,36001,41577835,1973190,,85234561.75
5PCxQSMOl3o,i&#39;m really sorry,10,2017,2017-10-26,Long,207,5020906,182676,10353,14158954.92
Y74b7WlcEpk,More birds IN MINECRAFT!!,1,2013,2013-01-12,Shorts,126,508657,21805,2586,1658221.82
yyJ7xEcENNI,How Much Does Pewdiepie Make?,6,2015,2015-06-28,Shorts,233,74080,1458,152,81488
ZQZzR0DUujc,"New Optic Gaming Gear Coming To Advanced Warfare, My Thoughts",8,2015,2015-08-01,Shorts,151,13954,374,118,24977.66
9Ax56oRhcZc,Counting To 10000 In One Sitting,2,2016,2016-02-01,Shorts,12581,28634115,463400,48241,15176080.95
ZJwX2jTXWwQ,Watching It&#39;s Everyday Bro For 10 Hours Straight,6,2017,2017-06-17,Long,36011,26678886,784884,72610,14673387.3
xWcldHxHFpo,"I Counted To 100,000!",1,2017,2017-01-09,Shorts,85686,24636026,1162093,123360,30302311.98
mGIpOtncmSM,"Saying Pewdiepie 100,000 Times",11,2018,2018-11-25,Shorts,42520,21226054,1451683,173172,86814560.86
ep7S1XnuQLU,"5,000 Hype",8,2015,2015-08-11,Shorts,184,68280,1890,457,102420
t8aM4HuVLrQ,This is a block? Since when lol.,1,2013,2013-01-21,Long,52,360054,15298,3081,255638.34
vZrL_FFITgs,Subscriber Goals For 2016,2,2015,2015-02-28,Shorts,248,24379,724,392,27792.06
9CVwXBYVqVk,"Counting To 200,000 (Road To A Mil)",2,2017,2017-02-18,Long,84878,3357112,133927,19482,9668482.56
2IGxSOfsBok,I Hate Pewdiepie!!!!!,2,2014,2014-02-01,Shorts,126,2660347,220560,15901,11093646.99
bEIK5ni_Pzs,How Many People Get The Diamond Play Button?????,7,2015,2015-07-25,Shorts,236,1711032,16809,2775,4106476.8
bIZ5_L1ru2w,Funny Noob Tubing Reaction Montage!,8,2013,2013-08-16,Long,149,52419,1799,333,237458.07
v3tbnlc5cfo,Battle Pirates!,9,2013,2013-09-21,Shorts,215,35238,1612,425,135313.92
XKSJRulqDNA,Most Epic Thing In Minecraft!?!?!?!?!?!!?????,3,2013,2013-03-10,Shorts,273,188255,8126,1379,225906
anZbhN0Wh_4,How Much Does PewDiePie Make????? 2016,5,2014,2014-05-24,Long,207,155556,3085,284,194445
dPxAFqs2eYE,"Epic Ghost Multiplayer EasterEggs! (PrisonBreak, Sovereign, and Flooded)",11,2013,2013-11-17,Shorts,100,37057,1560,213,31869.02
moMJjt5KECc,Money Problems,8,2014,2014-08-20,Long,242,102688,2564,295,433343.36
HuLAAXZXIy0,This Kid Should Quit COD....,6,2014,2014-06-02,Shorts,77,35121,784,139,81129.51
NiqkH7qVW0U,100k Subs With No Videos????,4,2015,2015-04-11,Shorts,257,378886,7538,2844,1773186.48
uUIlb2rpIuY,Epic Minecraft city! (w/ download link!),4,2013,2013-04-11,Shorts,154,142709,5172,741,296834.72
yeHjsYQ076A,Remember When COD Was Fun?,4,2015,2015-04-26,Shorts,216,16312,574,145,46162.96
X7doE4h6W64,Insane Gun Sync - 7 Hours To Make,6,2015,2015-06-21,Long,134,15740,637,105,27859.8
AIytwdufwW8,MY MESSAGE TO COD YOUTUBERS (Watch till end plz),5,2015,2015-05-29,Shorts,292,18502,508,117,71232.7
56OkH6ocYZU,L0114R - Biblical Creeper Post for Post @L0114R,5,2015,2015-05-15,Long,109,16627,430,134,77315.55
zi7tZ-2PhLk,How Much Money Do You Make As An Uber Driver??????,5,2015,2015-05-31,Shorts,304,18773,370,59,30036.8
